Id,Maxspeed
w25654338,30
w25654352,30
w25654361,30
w25654582,30
w25654633,20
w25654635,30
w25654636,30
w25654649,30
w25654657,30
w25654659,30
w25654660,30
w25654663,30
w25654667,30
w25654668,30
w25654670,50
w25654671,30
w25654672,50
w25654677,30
w25654678,50
w25654679,50
w25654683,50
w25654684,30
w25654688,30
w25654689,30
w25654692,30
w25654694,30
w25654696,30
w25654697,30
w25654698,50
w25654729,50
w25654817,50
w25654826,50
w25654830,20
w25654865,30
w25654869,50
w25654897,30
w25654899,50
w25654904,30
w25654915,50
w25654922,50
w25654928,30
w25654930,30
w25654935,30
w25654937,30
w25654939,30
w25654951,30
w25654952,30
w25654953,20
w25654954,30
w25654956,30
w25654964,30
w25654991,30
w25654994,50
w25654998,50
w25655001,50
w25655024,30
w25655025,50
w25655026,30
w25655028,50
w25655033,50
w25655035,40
w25655038,30
w25655052,30
w25655053,50
w25655054,30
w25655060,50
w25655065,40
w25655068,50
w25748495,30
w25748726,50
w25748750,50
w25748757,30
w25748820,30
w25748839,50
w25748858,30
w25748905,30
w25748941,30
w25749210,30
w25756473,50
w25756520,30
w25756821,50
w25756829,50
w25756833,30
w25756835,30
w25756837,50
w25756850,30
w25756859,30
w25756861,30
w25756870,50
w25756875,50
w25817301,30
w25817312,30
w25817392,50
w25817411,50
w25817422,50
w25817423,30
w25817432,30
w25817447,40
w25817554,30
w25817680,20
w25817735,50
w25817802,30
w25817864,50
w25817868,30
w25817954,30
w25819014,20
w25819144,50
w25819177,30
w25819183,30
w25819210,30
w25838186,30
w25838188,30
w25838207,50
w25838210,30
w25838293,30
w25838478,30
w25972707,40
w25972771,40
w25973526,30
w25973568,30
w25973608,30
w25974167,30
w25974176,50
w25974180,30
w25974182,50
w25974196,20
w25974229,50
w25974231,30
w25974243,50
w25974265,50
w25974278,50
w25974304,50
w25974306,30
w25974324,30
w25974327,50
w25974328,30
w25974344,50
w25974596,30
w25975076,50
w25978182,50
w25978269,30
w25978305,30
w25978306,30
w25980043,50
w25980066,30
w25980102,30
w25980178,30
w25980193,30
w25980199,30
w25980254,30
w25980264,30
w25980284,30
w25980287,50
w25980337,30
w25980342,30
w25980354,40
w25980355,40
w26001577,30
w26024555,40
w26085211,50
w26085232,30
w26085233,30
w26085253,30
w26085262,30
w27201913,50
w27202316,30
w27237023,50
w27237138,50
w27237139,30
w27237141,50
w27237156,30
w27249383,50
w27249415,30
w27296327,40
w27296963,30
w27297432,40
w27297506,30
w27297556,30
w27376173,80
w27376452,80
w27378274,40
w27378275,40
w27378276,30
w27523145,30
w27523152,50
w27534029,50
w27534046,30
w27534098,30
w27534126,30
w27534134,50
w27534136,50
w27534349,50
w27534355,30
w27534356,30
w27534374,30
w27534386,50
w27534469,30
w27534471,50
w27534567,40
w27534576,50
w27534583,30
w27534607,50
w27534610,30
w27534611,50
w27534619,50
w27534622,30
w27534632,20
w27534698,50
w27534703,30
w27534704,50
w27534756,30
w27534765,50
w27535269,30
w27535274,40
w27535284,90
w27535287,90
w27535288,90
w27535300,50
w27535302,40
w27535305,40
w27535526,30
w27535544,30
w27535546,40
w27535585,90
w27535603,90
w27535609,90
w27535688,50
w27535841,90
w27536239,30
w27674135,30
w27674602,40
w27674603,50
w27703542,40
w27703553,30
w27810744,30
w27810832,90
w27893634,30
w27917541,30
w27917550,30
w27917553,50
w27917556,30
w28061376,30
w28061384,30
w28061387,30
w28061388,50
w28061391,40
w28061396,40
w28082672,40
w28082673,40
w28111040,50
w28111105,40
w28111171,40
w28158033,40
w28278208,30
w28278926,30
w28278941,30
w28279063,50
w28279077,30
w28279126,40
w28279138,30
w28279168,50
w28279199,50
w28279215,30
w28279221,40
w28279253,50
w28279262,30
w28293359,50
w28293646,20
w28293648,20
w28293650,30
w28293651,30
w28293652,30
w28293653,30
w28306232,30
w28306374,50
w28306457,30
w28306844,30
w28306854,50
w28306954,50
w28306962,30
w28306970,50
w28416408,30
w28416410,30
w28487847,40
w28487848,40
w28487851,90
w28487852,90
w28487854,90
w28487855,90
w28488205,40
w28488427,30
w28510831,40
w28510992,40
w28510993,40
w28510994,40
w28684906,40
w28684907,90
