Id,Data,Abitato,Tipo,Caratteris,Asciutto,Pavimentaz,Meteo,Traffico,DanniCose,Lesioni,Ora,Minuto,Strada,NearestX,NearestY,Quartiere,FasciaOraria,Strada_FullId,Strada_Highway,Strada_Name,Strada_Oneway,Strada_Maxspeed,Strada_Lanes,Strada_Length,Quartiere_Id,Quartiere_Nome,Quartiere_Area,Quartiere_Pop2011,Quartiere_Densita
534,20/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Nuvoloso,Scarso,0,1,3,40,w27703542,16.8652159621925,41.0856195937728,14,notte,w27703542,tertiary,Via Giulio Petroni,0,55.63033254141414,1,315.8907380912299,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
535,20/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Scarso,0,0,7,0,w25654897,16.8754510112228,41.103971322816,7,mattina,w25654897,primary,Via Stefano Jacini,1,57.60647605047604,2,156.03059149452736,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
536,20/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,14,30,w132725574,16.7944119663694,41.1151252646402,9,pomeriggio,w132725574,tertiary,Via Saverio Milella,0,55.63033254141414,2,717.1151410863054,9,IX - STANIC,10552066.605152404,3555,336.9008302377613
537,20/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,15,50,w30654184,16.8764814398841,41.1167029143128,6,pomeriggio,w30654184,residential,Via dei Mille,1,40.30221991197471,1,535.5178806648887,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
538,20/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,18,35,w24884016,16.862005422275,41.1261161241089,2,sera,w24884016,tertiary,Piazza Giuseppe Garibaldi,1,55.63033254141414,1,310.50967584175856,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
539,20/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Intenso,0,1,19,37,w306397509,16.8743272752363,41.1182583052637,2,sera,w306397509,secondary,Sottovia Luigi di Savoia,0,51.70714492631247,1,22.03832392925883,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
540,20/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Scarso,0,0,20,30,w29980626,16.8640202793354,41.1257160155912,2,sera,w29980626,tertiary,Corso Vittorio Emanuele Secondo,0,55.63033254141414,2,95.01516063775026,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
541,20/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,21,34,w24884016,16.8608902721042,41.1260547613347,2,sera,w24884016,tertiary,Piazza Giuseppe Garibaldi,1,55.63033254141414,1,310.50967584175856,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
542,21/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,7,40,w134810877,16.8523040933521,41.1195794991269,4,mattina,w134810877,unclassified,w134810877,1,39.42018686626061,1,365.22719766181376,4,IV - LIBERTA ,1728359.618829931,35841,20737.003809579703
543,21/03/2022,1,Strada urbana,Intersezione semaforizzata,0,Asfaltata,Sereno,Normale,0,0,7,40,w258844075,16.8843417524512,41.068253443811,14,mattina,w258844075,tertiary,Via Antonio Quaranta,0,55.63033254141414,1,2741.7776521979526,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
544,21/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,8,10,w100126148,16.83239632527,41.1138096549485,9,mattina,w100126148,secondary,Via Bruno Buozzi,0,30.0,2,1170.7633359640747,9,IX - STANIC,10552066.605152404,3555,336.9008302377613
545,21/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,8,25,w1221506608,16.9110321330235,41.1081947666102,5,mattina,w1221506608,primary,Via Giovanni Gentile,0,80.0,1,269.2711960554843,5,V - JAPIGIA,15627563.350708809,29870,1911.3664318401377
546,21/03/2022,1,Strada urbana,Rettilineo,1,Strada pavimentata dissestata,Sereno,Scarso,0,0,9,40,w1216834039,16.8886992677998,41.0781421740216,14,mattina,w1216834039,unclassified,Via Madonna delel Grazie,0,39.42018686626061,1,533.6439459768513,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
547,21/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,13,45,w68563043,16.8725704480576,41.1208414223306,2,pomeriggio,w68563043,secondary,Corso Cavour,1,51.70714492631247,1,345.9656160796375,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
548,21/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,16,50,w29187723,16.8656594641375,41.1272164663311,2,pomeriggio,w29187723,residential,Via San Francesco d Assisi,0,40.30221991197471,1,163.98420309518525,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
549,21/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,17,55,w325737262,16.8736384598196,41.1011002482905,7,pomeriggio,w325737262,tertiary,Via della Costituente,1,55.63033254141414,1,356.7038349067414,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
550,21/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,19,50,w1180503871,16.8881929734665,41.1012288512754,6,sera,w1180503871,secondary,Via Giovanni Amendola,1,51.70714492631247,1,243.1026777332522,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
551,21/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,21,25,w33053472,16.7803065113091,41.1272905592034,11,sera,w33053472,residential,Via Francesco Paolo Troccoli,0,40.30221991197471,2,271.0709734727809,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
552,22/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Scarso,0,1,6,35,w299233206,16.8347211171911,41.131511845196,10,mattina,w299233206,residential,Via Pietro Mascagni,0,40.30221991197471,2,530.1885306513545,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
553,22/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Normale,0,0,8,55,w132725577,16.8108601329007,41.1235577568305,11,mattina,w132725577,secondary,Viale Europa,0,50.0,1,566.1655428084703,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
554,22/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,11,40,w29975377,16.8633700193199,41.1210095653031,2,mattina,w29975377,residential,Via Domenico Nicolai,1,40.30221991197471,1,475.5950693883523,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
555,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,13,15,w1219598855,16.8754102448413,41.1041998861263,7,pomeriggio,w1219598855,tertiary,Via della Resistenza,1,55.63033254141414,1,111.31284120198863,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
556,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,13,55,w32526074,16.7947557153576,41.119458768162,11,pomeriggio,w32526074,residential,Viale Lazio,0,50.0,1,253.74534402777095,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
557,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,15,22,w132725577,16.8108601329007,41.1235577568305,11,pomeriggio,w132725577,secondary,Viale Europa,0,50.0,1,566.1655428084703,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
558,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,15,40,w91277860,16.8562306233766,41.0754705019216,14,pomeriggio,w91277860,residential,Via Fratelli De Filippo,0,50.0,2,309.32847541710817,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
559,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,15,40,w136309798,16.8734574646779,41.1138583995302,7,pomeriggio,w136309798,secondary_link,w136309798,1,37.15521753264767,1,13.477088315935955,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
560,22/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,16,55,w25838207,16.8542587080863,41.0974488457008,8,pomeriggio,w25838207,unclassified,Via Edmondo Caccuri,0,39.42018686626061,1,142.70870032229385,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
561,22/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,17,15,w25980193,16.9879982465596,41.0901219462081,17,pomeriggio,w25980193,tertiary,Via Scizze,0,55.63033254141414,2,172.4206141723381,17,XVII - TORRE A MARE,5117090.348814829,5108,998.2235316957156
562,22/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Scarso,0,1,17,20,w30632198,16.8950049102442,41.1072893332823,5,pomeriggio,w30632198,residential,Via Cavalieri di Vittorio Veneto,0,40.30221991197471,1,219.76827884554044,5,V - JAPIGIA,15627563.350708809,29870,1911.3664318401377
563,22/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,21,0,w688834959,16.8696376553763,41.0741728568143,14,sera,w688834959,residential,Via Agostinelli,0,40.30221991197471,1,62.832669475088515,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
564,23/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,9,0,w30216099,16.9566174619783,41.0956325290181,17,mattina,w30216099,secondary,Via Michelangelo Interesse,0,51.70714492631247,1,94.19597994689457,17,XVII - TORRE A MARE,5117090.348814829,5108,998.2235316957156
565,23/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Normale,0,0,10,15,w130574777,16.822705952906,41.1328875462273,10,mattina,w130574777,secondary,Via Napoli,1,51.70714492631247,1,777.5171645963487,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
566,23/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,11,55,w1070605626,16.8513874388442,41.1294056949172,4,mattina,w1070605626,secondary,Corso Vittorio Veneto,0,51.70714492631247,4,55.385859682094825,4,IV - LIBERTA ,1728359.618829931,35841,20737.003809579703
567,23/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,12,50,w568741090,16.8199921090521,41.1243523840465,9,pomeriggio,w568741090,secondary,Strada vicinale del tesoro,0,50.0,1,470.1594398936496,9,IX - STANIC,10552066.605152404,3555,336.9008302377613
568,23/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,16,35,w166971188,16.8691957421137,41.0868101182119,14,pomeriggio,w166971188,tertiary,Corso Alcide De Gasperi,0,50.0,1,1251.1003739339014,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
569,23/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,18,0,w130557860,16.8269234309281,41.133740187858,10,sera,w130557860,residential,Via Francesco Casavola,0,40.30221991197471,1,154.96867183004633,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
570,23/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Intenso,0,0,18,50,w30002076,16.8739215602002,41.1104638128631,7,sera,w30002076,secondary,Viale della Repubblica,1,51.70714492631247,1,601.0386378489559,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
571,24/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,0,0,w25655035,16.8620015483902,41.1012822839145,8,notte,w25655035,unclassified,Via Niceforo,1,39.42018686626061,1,159.42592686230145,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
572,24/03/2022,0,Statale,Rettilineo,1,Asfaltata,Sereno,Intenso,0,0,0,0,w30277595,16.7708096716308,41.1519681082714,12,notte,w30277595,tertiary,w30277595,0,55.63033254141414,1,119.6503344994023,12,XII - PALESE - MACCHIE,9896021.478098463,13980,1412.6889306920016
573,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,7,30,w29975543,16.8510759549563,41.125103498062,4,mattina,w29975543,residential,Corso della Carboneria,0,40.30221991197471,1,304.17065494531784,4,IV - LIBERTA ,1728359.618829931,35841,20737.003809579703
574,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Intenso,0,1,8,15,w25974344,16.9950649528244,41.085739910642,17,mattina,w25974344,residential,Traversa di Via Bari,0,40.30221991197471,1,146.3940533117239,17,XVII - TORRE A MARE,5117090.348814829,5108,998.2235316957156
575,24/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,8,45,w30706585,16.8630171048384,41.1087658243898,8,mattina,w30706585,residential,Via Giuseppe Maria Giovene,1,40.30221991197471,1,283.24433620033346,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
576,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,9,10,w180465473,16.8246515038242,41.1375463839578,10,mattina,w180465473,residential,Lungomare Nove Maggio,1,40.30221991197471,2,877.1095516503294,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
577,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,9,30,w30503804,16.8997638393714,41.1031917839563,5,mattina,w30503804,residential,Via Guglielmo Appulo,0,40.30221991197471,1,392.58363408314506,5,V - JAPIGIA,15627563.350708809,29870,1911.3664318401377
578,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Intenso,0,1,10,10,w1225908704,16.8754391236073,41.1006413299492,7,mattina,w1225908704,secondary,Via Luigi Einaudi,1,51.70714492631247,1,225.63115853782753,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
579,24/03/2022,1,Strada urbana,Rotatoria,1,Asfaltata,Sereno,Intenso,0,0,11,10,w1070593447,16.8476953738351,41.114516474824,9,mattina,w1070593447,service,w1070593447,0,31.072739693401605,1,69.52674311731931,9,IX - STANIC,10552066.605152404,3555,336.9008302377613
580,24/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,1,16,45,w30652831,16.8856733823778,41.0996842181446,6,pomeriggio,w30652831,residential,Via Pietro Leonida Laforgia,0,40.30221991197471,1,242.72459454370698,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
581,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,17,40,w30029561,16.8697575788684,41.1246812809165,2,pomeriggio,w30029561,residential,Via Abate Giacinto Gimma,1,30.0,1,289.5285336663417,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
582,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,17,45,w25748839,16.8661250598489,41.0991862142138,8,pomeriggio,w25748839,secondary,Viale Mohandas Gandhi,0,50.0,4,224.5257692856665,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
583,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,20,35,w1274596356,16.8717702544398,41.1171460787622,2,sera,w1274596356,secondary,Via Giuseppe Capruzzi,0,51.70714492631247,2,131.16189323429464,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
584,24/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Scarso,0,1,21,30,w1265255790,16.8713716428997,41.1006007240057,7,sera,w1265255790,secondary,Viale John Fitzgerald Kennedy,1,51.70714492631247,1,355.85630248529407,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
585,24/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,23,30,w25654817,16.8711017070941,41.098148682776,7,sera,w25654817,tertiary,Corso Alcide De Gasperi,0,50.0,1,1259.2263424424286,7,VII - CARRASSI,3050551.522896136,33902,11113.40023125198
586,25/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,9,45,w30015234,16.8669027916878,41.125869297341,2,mattina,w30015234,residential,Via Benedetto Cairoli,1,30.0,1,78.17983800803047,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
587,25/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,11,10,w204409241,16.8025894056349,41.1247763790231,11,mattina,w204409241,residential,Via Giovanni Candura,0,40.30221991197471,1,519.8993560041832,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
588,25/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,14,30,w30690507,16.8657296581045,41.094450024963,8,pomeriggio,w30690507,unclassified,Via Aurelio Carrante,1,30.0,1,233.38371035307011,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
589,25/03/2022,1,Strada urbana,Intersezione stradale segnalata,1,Asfaltata,Sereno,Normale,0,0,15,0,w562701235,16.8378325129572,41.1309288001442,10,pomeriggio,w562701235,secondary,Via di Maratona,1,51.70714492631247,2,449.2901569208229,10,X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743,15524,2953.5046410259074
590,25/03/2022,1,Strada urbana,Curva a visuale libera,1,Asfaltata,Sereno,Normale,0,1,15,20,w114953468,16.8512485723797,41.0919942487828,8,pomeriggio,w114953468,secondary_link,w114953468,1,37.15521753264767,1,172.85625964056646,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
591,25/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,0,17,35,w31311307,16.8732095797312,41.0625098933578,15,pomeriggio,w31311307,residential,Via Ada Negri,0,40.30221991197471,1,390.2539619680693,15,XV - CEGLIE DEL CAMPO,6788640.618601141,10414,1534.0331864770146
592,25/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,1,22,45,w33054227,16.7872249459694,41.1310152880669,11,sera,w33054227,unclassified,Via Don Carlo Gnocchi,0,39.42018686626061,2,478.50435357905803,11,XI - SAN PAOLO,9107721.478241496,31674,3477.708456024894
593,26/03/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Normale,0,0,0,0,w30632198,16.8949490328354,41.1072133429999,5,notte,w30632198,residential,Via Cavalieri di Vittorio Veneto,0,40.30221991197471,1,219.76827884554044,5,V - JAPIGIA,15627563.350708809,29870,1911.3664318401377
594,26/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,0,50,w303326646,16.8816687655236,41.1176851620273,3,notte,w303326646,secondary,Via Guglielmo Oberdan,0,51.70714492631247,1,135.7938310488668,3,III - MADONNELLA,503783.4742221417,10259,20363.907362861064
595,26/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,1,0,3,55,w1213547736,16.8416753780951,41.0962073164016,8,notte,w1213547736,service,w1213547736,0,31.072739693401605,1,133.0556955108363,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
596,26/03/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,9,30,w29976859,16.8614436603332,41.1190127126497,2,mattina,w29976859,residential,Via Alessandro Manzoni,1,40.30221991197471,1,763.0026009115317,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
597,26/03/2022,1,Strada urbana,Intersezione semaforizzata,1,Asfaltata,Sereno,Normale,0,0,12,5,w577223386,16.864566817184,41.100147032241,8,pomeriggio,w577223386,unclassified,Via Martin Luther King,0,39.42018686626061,2,685.4249675797661,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
